Date,Close
2018-04-16,0.2426
2018-04-17,0.262
2018-04-18,0.27004
2018-04-19,0.30108
2018-04-20,0.28668
2018-04-21,0.2816
2018-04-22,0.28788
2018-04-23,0.30853
2018-04-24,0.2687
2018-04-25,0.29326
2018-04-26,0.28445
2018-04-27,0.35676
2018-04-28,0.36254
2018-04-29,0.34145
2018-04-30,0.35504
2018-05-01,0.37199
2018-05-02,0.36716
2018-05-03,0.358
2018-05-04,0.36502
2018-05-05,0.34654
2018-05-06,0.33046
2018-05-07,0.32213
2018-05-08,0.31884
2018-05-09,0.29121
2018-05-10,0.25573
2018-05-11,0.2655
2018-05-12,0.27718
2018-05-13,0.26655
2018-05-14,0.25394
2018-05-15,0.25237
2018-05-16,0.23919
2018-05-17,0.24324
2018-05-18,0.24116
2018-05-19,0.25556
2018-05-20,0.24563
2018-05-21,0.22
2018-05-22,0.1978
2018-05-23,0.2073
2018-05-24,0.19788
2018-05-25,0.19504
2018-05-26,0.19186
2018-05-27,0.17249
2018-05-28,0.20164
2018-05-29,0.20779
2018-05-30,0.2233
2018-05-31,0.22038
2018-06-01,0.22648
2018-06-02,0.22659
2018-06-03,0.21243
2018-06-04,0.21839
2018-06-05,0.21452
2018-06-06,0.21019
2018-06-07,0.2043
2018-06-08,0.2011
2018-06-09,0.17346
2018-06-10,0.17897
2018-06-11,0.16297
2018-06-12,0.15791
2018-06-13,0.17062
2018-06-14,0.16097
2018-06-15,0.16191
2018-06-16,0.16044
2018-06-17,0.1637
2018-06-18,0.167
2018-06-19,0.16182
2018-06-20,0.15779
2018-06-21,0.13843
2018-06-22,0.1371
2018-06-23,0.13093
2018-06-24,0.13521
2018-06-25,0.12519
2018-06-26,0.12752
2018-06-27,0.11825
2018-06-28,0.12534
2018-06-29,0.13784
2018-06-30,0.14211
2018-07-01,0.15448
2018-07-02,0.14966
2018-07-03,0.15112
2018-07-04,0.14736
2018-07-05,0.14501
2018-07-06,0.14783
2018-07-07,0.14481
2018-07-08,0.13935
2018-07-09,0.12814
2018-07-10,0.13144
2018-07-11,0.1275
2018-07-12,0.13768
2018-07-13,0.1365
2018-07-14,0.14227
2018-07-15,0.15655
2018-07-16,0.17136
2018-07-17,0.18053
2018-07-18,0.18191
2018-07-19,0.16129
2018-07-20,0.16327
2018-07-21,0.16916
2018-07-22,0.16423
2018-07-23,0.17349
2018-07-24,0.17275
2018-07-25,0.164
2018-07-26,0.1659
2018-07-27,0.1641
2018-07-28,0.16268
2018-07-29,0.15327
2018-07-30,0.14175
2018-07-31,0.13984
2018-08-01,0.13039
2018-08-02,0.12947
2018-08-03,0.12639
2018-08-04,0.13024
2018-08-05,0.12937
2018-08-06,0.12365
2018-08-07,0.11292
2018-08-08,0.12213
2018-08-09,0.11485
2018-08-10,0.11022
2018-08-11,0.11153
2018-08-12,0.10104
2018-08-13,0.0935
2018-08-14,0.09361
2018-08-15,0.0946
2018-08-16,0.11
2018-08-17,0.09831
2018-08-18,0.10143
2018-08-19,0.09174
2018-08-20,0.09469
2018-08-21,0.08955
2018-08-22,0.09232
2018-08-23,0.09381
2018-08-24,0.09413
2018-08-25,0.09306
2018-08-26,0.10051
